Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,Presynaptic_Type,Presynaptic_Side,Postsynaptic_Side
720575940620314221,720575940632499757,42880,108748,9,1,9,LC4,right,right
720575940605598892,720575940622838154,1911,57246,9,1,9,LC4,left,left
720575940603637438,720575940632499757,264,108748,8,1,8,LC4,right,right
720575940631582751,720575940632499757,104684,108748,8,1,8,LPLC2,right,right
720575940612323025,720575940632499757,13728,108748,8,1,8,LC4,right,right
720575940641704656,720575940622838154,131032,57246,8,1,8,LPLC2,left,left
720575940638857048,720575940632499757,125744,108748,8,1,8,LPLC2,right,right
720575940638922624,720575940632499757,125897,108748,8,1,8,LPLC2,right,right
720575940628462340,720575940622838154,88424,57246,8,1,8,LC4,left,left
720575940628599895,720575940632499757,89165,108748,8,1,8,LC4,right,right
720575940636999401,720575940632499757,121544,108748,8,1,8,LPLC2,right,right
720575940629964591,720575940632499757,96243,108748,8,1,8,LC4,right,right
720575940631380695,720575940622838154,103701,57246,8,1,8,LPLC2,left,left
720575940635307639,720575940622838154,117525,57246,8,1,8,LPLC2,left,left
720575940616166685,720575940632499757,26360,108748,8,1,8,LPLC2,right,right
720575940624856762,720575940632499757,68461,108748,8,1,8,LC4,right,right
720575940623551684,720575940622838154,61444,57246,8,1,8,LPLC2,left,left
720575940622680088,720575940622838154,56360,57246,8,1,8,LPLC2,left,left
720575940619750822,720575940622838154,40277,57246,8,1,8,LPLC2,left,left
720575940619627934,720575940632499757,39722,108748,8,1,8,LPLC2,right,right
720575940621634913,720575940632499757,50384,108748,8,1,8,LPLC2,right,right
720575940620783180,720575940632499757,45496,108748,8,1,8,LPLC2,right,right
720575940635835967,720575940632499757,118928,108748,8,1,8,LC4,right,right
720575940645328436,720575940622838154,134164,57246,8,1,8,LPLC2,left,left
720575940617026260,720575940622838154,29383,57246,8,1,8,LC4,left,left
720575940645821316,720575940632499757,134682,108748,8,1,8,LC4,right,right
720575940618002644,720575940622838154,33149,57246,8,1,8,LC4,left,left
720575940618172509,720575940632499757,33951,108748,8,1,8,LPLC2,right,right
720575940618307046,720575940632499757,34579,108748,8,1,8,LPLC2,right,right
720575940625991043,720575940622838154,74288,57246,8,1,8,LC4,left,left
720575940635572592,720575940632499757,118209,108748,8,1,8,LPLC2,right,right
720575940628891863,720575940632499757,90786,108748,7,1,7,LC4,right,right
720575940628603842,720575940632499757,89187,108748,7,1,7,LPLC2,right,right
720575940629967703,720575940632499757,96263,108748,7,1,7,LPLC2,right,right
720575940612874536,720575940622838154,15527,57246,7,1,7,LPLC2,left,left
720575940612766691,720575940622838154,15167,57246,7,1,7,LPLC2,left,left
720575940629753807,720575940622838154,95107,57246,7,1,7,LC4,left,left
720575940633218863,720575940632499757,111699,108748,7,1,7,LC4,right,right
720575940610536290,720575940632499757,9379,108748,7,1,7,LPLC2,right,right
720575940611352234,720575940632499757,11095,108748,7,1,7,LPLC2,right,right
720575940612093351,720575940632499757,13067,108748,7,1,7,LC4,right,right
720575940614373279,720575940632499757,20166,108748,7,1,7,LPLC2,right,right
720575940613260959,720575940622838154,16836,57246,7,1,7,LC4,left,left
720575940630831185,720575940622838154,100807,57246,7,1,7,LPLC2,left,left
720575940631312428,720575940632499757,103389,108748,7,1,7,LPLC2,right,right
720575940631338271,720575940622838154,103513,57246,7,1,7,LC4,left,left
720575940635040357,720575940632499757,116704,108748,7,1,7,LPLC2,right,right
720575940628849668,720575940632499757,90573,108748,7,1,7,LPLC2,right,right
720575940625038090,720575940622838154,69551,57246,7,1,7,LC4,left,left
720575940648418425,720575940622838154,136325,57246,7,1,7,LPLC2,left,left
720575940645180196,720575940632499757,134013,108748,7,1,7,LPLC2,right,right
720575940627519107,720575940622838154,82937,57246,7,1,7,LC4,left,left
720575940628454522,720575940622838154,88373,57246,7,1,7,LC4,left,left
720575940618234704,720575940632499757,34245,108748,7,1,7,LC4,right,right
720575940625700739,720575940622838154,72757,57246,7,1,7,LPLC2,left,left
720575940618723749,720575940622838154,36310,57246,7,1,7,LC4,left,left
720575940617266722,720575940622838154,30208,57246,7,1,7,LC4,left,left
720575940624111763,720575940622838154,64467,57246,7,1,7,LC4,left,left
720575940622330582,720575940632499757,54455,108748,7,1,7,LC4,right,right
720575940621145821,720575940632499757,47583,108748,7,1,7,LC4,right,right
720575940636878682,720575940632499757,121258,108748,7,1,7,LPLC2,right,right
720575940606217138,720575940632499757,2954,108748,7,1,7,LPLC2,right,right
720575940621753579,720575940632499757,51100,108748,6,1,6,LC4,right,right
720575940626553596,720575940632499757,77031,108748,6,1,6,LC4,right,right
720575940626873000,720575940632499757,78878,108748,6,1,6,LPLC2,right,right
720575940625841351,720575940632499757,73496,108748,6,1,6,LC4,right,right
720575940623047629,720575940632499757,58436,108748,6,1,6,LPLC2,right,right
720575940615462587,720575940622838154,23927,57246,6,1,6,LC4,left,left
720575940630650936,720575940632499757,99745,108748,6,1,6,LPLC2,right,right
720575940611740569,720575940632499757,12110,108748,6,1,6,LPLC2,right,right
720575940606855554,720575940632499757,3942,108748,6,1,6,LPLC2,right,right
720575940614914107,720575940622838154,22002,57246,6,1,6,LC4,left,left
720575940615116731,720575940632499757,22701,108748,6,1,6,LPLC2,right,right
720575940652611745,720575940632499757,137218,108748,6,1,6,LC4,right,right
720575940613609484,720575940632499757,17935,108748,6,1,6,LC4,right,right
720575940624790781,720575940632499757,68119,108748,6,1,6,LC4,right,right
720575940616066705,720575940632499757,25985,108748,6,1,6,LC4,right,right
